cc,no_rto_backoff,cap_s,bytes,mbps,bytes_sent,bytes_retrans,cwnd_last,rto_min_ms,rto_max_ms,ts
cubic,0,120,522240,0.035,0,0,2,0,18,1789766922
cubic,1,120,261120,0.017,0,0,6,1,13,1789767093
ee542c,0,120,221168640,14.745,0,0,1730,0,0,1789767219
ee542c,1,120,183045120,12.203,0,0,1730,0,1,1789767345
