ts,tier,nodes,framework,job,rep,wall_s,yarn_ms,app,extra
1790043176,small,2,spark-local,minmax,1,5.771,,,submit_wall_s=10.569319893;min_scan_s=3.892;max_scan_s=0.575
1790043188,small,2,spark-local,minmax,2,5.765,,,submit_wall_s=10.584351068;min_scan_s=3.631;max_scan_s=0.738
1790043200,small,2,spark-local,minmax,3,5.695,,,submit_wall_s=10.389015156;min_scan_s=3.747;max_scan_s=0.634
1790043486,large,2,mr,wordcount,1,283.899881112,279505,application_1790042581250_0019,
1790043801,large,2,mr,wordcount,2,312.948192775,308670,application_1790042581250_0020,
1790045075,large,2,mr,charcount,1,1272.278332603,1267935,application_1790042581250_0021,
1790046521,large,2,mr,charcount,2,1443.721494862,1439488,application_1790042581250_0022,
1790046558,large,2,mr,minmax,1,34.345405822,29669,application_1790042581250_0023,
1790046598,large,2,mr,minmax,2,35.827046857,30849,application_1790042581250_0024,
1790046698,large,2,spark-yarn,wordcount,1,81.484,91050,application_1790042581250_0025,submit_wall_s=96.632662795;
1790046800,large,2,spark-yarn,wordcount,2,82.790,92454,application_1790042581250_0026,submit_wall_s=98.027048491;
1790047055,large,2,spark-yarn,charcount,1,236.957,246150,application_1790042581250_0027,submit_wall_s=251.795791186;
1790047311,large,2,spark-yarn,charcount,2,237.479,247127,application_1790042581250_0028,submit_wall_s=252.468198269;
1790047412,large,2,spark-yarn,minmax,1,82.514,91815,application_1790042581250_0029,submit_wall_s=97.309084376;min_scan_s=79.580;max_scan_s=1.935
1790047517,large,2,spark-yarn,minmax,2,84.707,94651,application_1790042581250_0030,submit_wall_s=101.474716223;min_scan_s=81.902;max_scan_s=1.823
