id,bytes
1,10954
10,4436268
100,5422721
1000,578186
1001,229320
1002,229244
1003,230012
1004,689220
1005,214691
1006,214920
1007,208119
1008,892763
1009,193422
101,656544
1010,203985
1011,200224
1012,606316
1013,386627
1014,165018
1015,737602
1016,96270
1017,103586
1018,383728
1019,205111
102,300809
1020,166620
1021,114897
1022,69371
1023,2025044
1024,791315
1025,679270
1026,240127
1027,544844
1028,516935
1029,297206
103,383991
1030,406880
1031,99347
1032,123189
1033,158262
1034,47207
1035,93691
1036,467580
1037,313541
1038,168727
1039,1750640
104,11605
1040,122631
1041,100225
1042,103555
1043,636744
1044,105577
1045,61543
1046,233656
1047,855398
1048,305219
1049,403882
105,477866
1050,90749
1051,493266
1052,162597
1053,348961
1054,325592
1055,408234
1056,800350
1057,263209
1058,369264
1059,387441
106,423563
1060,105486
1061,454276
1062,36191
1063,13594
1064,14238
1065,7582
1066,351940
1067,731864
1068,899979
1069,1204386
107,810679
1074,602632
1075,293921
1076,486640
1077,312902
1078,610246
1079,1094205
108,686476
1080,19612
1081,837220
1082,503060
1083,631970
1084,217793
1085,524781
1086,101933
1087,126849
1088,588654
1089,278497
109,39583
1090,76276
1091,509762
1092,129062
1093,123412
1094,160432
1095,724202
1096,276475
1097,199497
1098,518551
1099,616139
11,151191
110,875702
1100,130672
1101,150142
1102,145143
1103,171754
1104,86356
1105,105434
1106,120797
1107,122254
1108,102363
1109,127456
111,458552
1110,121995
1111,129062
1112,139789
1113,97015
1114,121431
1115,142543
1116,126761
1117,152125
1118,122916
1119,151757
112,120423
1120,116120
1121,124482
1122,166678
1123,114618
1124,159667
1125,134027
1126,127578
1127,154753
1128,141179
1129,104168
113,455671
1130,148445
1131,163852
1132,110551
1133,159961
1134,145038
1135,99969
1136,143978
1137,15135
1138,652824
1139,265601
114,1874
1140,438374
1141,96070
1142,179693
1143,476690
1144,202756
1145,472512
1146,255463
1147,260194
1148,346409
1149,250430
115,2046550
1150,920073
1151,578676
1152,330843
1153,495647
1154,420704
1155,453999
1156,734690
1157,194750
1158,398976
1159,374764
116,19992
1160,106844
1161,421904
1162,579989
1163,428729
1164,517182
1165,280318
1166,311852
1167,287563
1168,395270
1169,82340
117,505
1170,538895
1171,28370
1172,80371
1173,216172
1174,739911
1175,90840
1176,78910
1177,401268
1178,116385
1179,56176
118,403266
1180,135872
1181,132565
1182,536105
1183,430527
1184,2706052
1185,669897
1186,63614
1187,226593
1188,333516
1189,29240
119,902406
1190,100708
1191,174828
1192,220596
1193,152651
1194,598710
1195,126317
1196,70327
1197,635665
1198,1104705
1199,318425
12,172776
120,372720
1200,1868710
1201,571410
1202,359640
1203,171280
1204,312340
1205,131327
1206,238511
1207,626351
1208,288374
1209,1298168
121,448326
1210,219623
1211,212198
1212,192326
1213,104308
1214,441068
1215,53848
1216,310075
1217,344368
1218,912265
1219,119470
122,819250
1220,39207
1221,129398
1222,97680
1223,483164
1224,519382
1225,238112
1226,979514
1227,660697
1228,950788
1229,233938
123,276362
1230,47822
1231,229487
1232,283526
1233,308096
1234,154730
1235,930694
1236,632219
1237,592602
1238,59048
1239,509286
124,834880
1240,117566
1241,86587
1242,132959
1243,140541
1244,207747
1245,983410
1246,140633
1247,52975
1248,490393
1249,128004
125,678420
1250,108824
1251,897750
1252,1009388
1253,70344
1254,225282
1256,239591
1257,1337947
1258,1613798
1259,1420236
126,168145
1260,1044063
1261,550972
1262,463035
1263,484227
1264,335509
1265,530397
1266,279947
1267,503443
1268,1151796
1269,462586
127,1026209
1270,248783
1271,330810
1272,493463
1273,100987
1274,417059
1275,245099
1276,131936
1277,107490
1278,180373
1279,874747
128,609365
1280,220020
1281,248784
1282,242029
1283,246656
1284,255429
1285,89084
1286,574385
1287,597443
1288,219752
1289,140309
129,5251160
1290,625992
1291,80087
1292,187259
1293,297977
1294,164436
1295,169603
1296,325613
1297,279598
1298,768475
1299,336607
13,34290
130,362492
1300,609830
1301,2112025
1302,144552
1303,557778
1304,1170850
1305,129330
1306,192539
1307,563385
1308,86583
1309,134262
131,311627
1310,382630
1311,117996
1312,705787
1313,249879
1314,428722
1315,320299
1316,258326
1317,112701
1318,369656
1319,379865
132,322409
1320,1382334
1321,32567
1322,760829
1323,1784867
1324,258211
1325,643738
1326,220394
1327,272981
1328,47933
1329,554787
133,687611
1330,16153
1331,30067
1332,86466
1333,157690
1334,784895
1335,190795
1336,73085
1337,127870
1338,201403
1339,71075
134,266272
1340,1254576
1341,11777
1342,738046
1343,461297
1344,126719
1345,150297
1346,254220
1347,284107
1348,308891
1349,1729839
135,3349503
1350,567856
1351,395300
1352,292033
1353,600874
1354,378079
1355,256334
1356,656979
1357,45309
1358,138521
1359,144888
136,54724
1360,282683
1361,237702
1362,251523
1363,244473
1364,249317
1365,1948233
1366,1582578
1367,56106
1368,672861
1369,112983
137,92724
1370,1264282
1371,964619
1372,703660
1373,21720
1374,149416
1375,346022
1376,361285
1377,765146
1378,552471
1379,267260
138,393677
1380,634939
1381,296622
1382,311960
1383,342668
1384,307274
1385,415387
1386,549158
1387,52513
1388,54474
1389,131758
139,432212
1390,381682
1391,418403
1392,77044
1393,85099
1394,96386
1395,201490
1396,1088805
1397,599744
1398,157230
1399,2048246
14,1897534
140,820570
1400,1038512
1401,616421
1402,232501
1403,352614
1404,1167078
1405,327772
1406,126259
1407,89852
1408,489556
1409,258985
141,893788
1410,166123
1411,79823
1412,549308
1413,75778
1414,132328
1415,83757
1416,96198
1417,692241
1418,55997
1419,130134
142,537028
1420,379356
1421,86072
1422,47835
1423,276288
1424,252757
1425,23088
1426,32282
1427,41622
1428,53421
1429,336906
143,680659
1430,287699
1431,134556
1432,301923
1433,75476
1434,387127
1435,160355
1436,255260
1437,129107
1438,1548026
1439,106296
144,797359
1440,335189
1441,563539
1442,415245
1443,325256
1444,303662
1445,281197
1446,259431
1447,511088
1448,514248
1449,954553
145,1812793
1450,329191
1451,300346
1452,818996
